VENDOR_NAME,SKU_NBR,DC_ID,CATEGORY,DNP_RANKING,FILL_RATE,TOTAL_WEEKS_OF_SUPPLY,RECEIPT_DELAY_DAYS,OOS_LIKELY,FILL_RATE_ISSUE,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,STORE_COUNT,COMBINED_CAUSE,COMBINED_ACTION
ULTRAMED,24592,CA,PERSONAL CARE,Top 50%,95.2,33.7,15.7,N,N,95.2,15.2,97.9,16.0,32,Transportation issue,
PRIMECARE,80284,TX,SKIN CARE,Top 50%,67.2,22.31,-1.4,Y,Y,67.2,-2.4,67.8,-3.6,122,Manufacturing shortage,
HEALTHCORP,17331,IL,DIGESTIVE HEALTH,Bottom 50%,80.2,57.81,3.2,N,Y,78.8,2.1,79.7,1.5,293,Vendor capacity constraint,
ULTRAMED,25014,AZ,PERSONAL CARE,Top 10%,60.0,23.31,4.1,Y,Y,62.9,4.8,66.7,4.5,50,Vendor capacity constraint,
SUNRISE,73699,TX,PET SUPPLIES,Top 10%,47.3,32.14,16.1,Y,Y,47.6,15.3,46.0,15.9,258,Weather delay,
BIOMED,27342,NC,FIRST AID,Bottom 50%,91.1,36.85,2.6,N,N,95.9,4.0,95.3,5.7,286,Low fill rate (<85%),Without Exception
NOVAPHARM,40982,FL,SKIN CARE,Bottom 50%,98.5,42.16,17.8,N,N,95.5,15.6,97.4,16.3,45,Transportation issue,
NOVAPHARM,98501,IL,SKIN CARE,Top 10%,67.3,45.59,9.6,Y,Y,60.7,9.9,66.0,11.3,234,Weather delay,
SUNRISE,49651,NC,PET SUPPLIES,Bottom 50%,44.6,22.9,2.8,Y,Y,45.1,3.1,46.1,3.0,86,Vendor capacity constraint,
AKZE,58393,NC,PET SUPPLIES,Top 10%,90.5,28.73,11.3,N,N,90.0,10.8,88.0,7.9,65,Transportation issue,
AKZE,71694,IL,PAIN MANAGEMENT,Top 50%,78.3,26.42,2.8,N,Y,81.4,4.2,81.3,7.4,10,Vendor capacity constraint,
BIOMED,97900,IL,HAIR CARE,Top 50%,94.3,23.19,2.9,N,N,95.8,4.3,93.3,1.6,119,Partial shipment,Without Exception
PRIMECARE,32241,TX,PERSONAL CARE,Top 10%,88.5,38.39,19.3,Y,N,90.9,19.4,91.1,20.3,296,Transportation issue,
HEALTHCORP,68008,NC,PET SUPPLIES,Top 10%,72.7,24.7,2.4,Y,Y,71.0,2.5,71.5,3.9,209,Vendor capacity constraint,
SUNRISE,12560,NC,SKIN CARE,Top 50%,96.3,25.24,1.1,N,N,91.3,1.9,91.3,2.7,242,>5 days late,Without Exception
HEALTHCORP,59692,OH,SKIN CARE,Top 50%,63.7,23.94,4.6,Y,Y,62.5,5.2,59.4,4.2,169,Manufacturing shortage,
ULTRAMED,59192,NY,PAIN MANAGEMENT,Top 50%,89.5,24.6,15.7,Y,N,83.0,16.6,88.5,17.5,147,>5 days late,
SYNCO,21359,OH,BABY CARE,Top 50%,56.7,43.28,19.2,Y,Y,59.5,18.7,58.2,17.8,198,Transportation issue,
BIOMED,79588,GA,SKIN CARE,Top 10%,51.9,58.01,1.4,Y,Y,54.2,2.9,51.9,0.7,255,Vendor capacity constraint,
HEALTHCORP,34164,CA,PERSONAL CARE,Top 10%,92.4,24.86,-0.3,N,N,87.6,-1.1,91.6,-1.5,90,Vendor capacity constraint,Without Exception
MEDIQ,82350,TX,COLD & ALLERGY,Top 50%,60.7,40.5,2.1,Y,Y,65.7,2.0,62.9,0.3,234,Manufacturing shortage,
