VENDOR_NAME,VENDOR_NBR,SKU_NBR,DC_ID,PO_NBR,FISCAL_WEEK_NBR,MDSE_GRP_DSC,DIRECTOR,CAT_NBR,CATEGORY,SKU_DSC,DNP_RANKING,COMBINED_ACTION,COMBINED_CAUSE,ACTION_TAKEN_ON_TIME,FILL_RATE_ISSUE,SUM_ORDERED,SUM_RCVD,FILL_RATE,FILL_RATE_WK_1,FILL_RATE_WK_2,FILL_RATE_WK_3,FILL_RATE_WK_4,FILL_RATE_WK_5,FILL_RATE_WK_6,FILL_RATE_WK_7,VENDOR_ISSUE,OOS_LIKELY,LATE_ISSUE,STA_DT,REQUESTED_DT,APPT_DT,TRAILER_ARRIVE_DT,RECEIVED_DT,RECEIPT_DELAY_DAYS,RECEIPT_DELAY_WK_1_AGO,RECEIPT_DELAY_WK_2_AGO,RECEIPT_DELAY_WK_3_AGO,RECEIPT_DELAY_WK_4_AGO,DC_BOH_QTY,STORE_BOH_QTY,ON_WITHDRAWAL_QTY,TOTAL_WEEKS_OF_SUPPLY,IN_STOCK_PERCENT,STORE_IN_STOCK_PCT,ACTIVE_IND,DISCON_IND,OOS_LIKELY2,AVG_FILL_RATE_4WK,AVG_RECEIPT_DELAY_4WK,AVG_FILL_RATE_8WK,AVG_RECEIPT_DELAY_8WK,SKU_AVG_MARGIN,TOTAL_UNITS_ORDERED,STORE_COUNT
ULTRAMED,75012,24592,CA,32000,202537,BEAUTY & PERSONAL CARE,CAROL DANVERS,5,PERSONAL CARE,Dog Food Dry 20lb,Top 50%,Vendor Outreach,Transportation issue,,N,102,97,95.2,97.9,93.1,93.5,96.1,97.1,100,100,Y,N,Y,2025-09-18,2025-09-21,2025-09-21,2025-09-27,2025-09-28,15.7,16.0,12.8,17.3,14.6,142,368,110,33.7,0.9776,0.9613,A,N,N,95.2,15.2,97.9,16.0,0.219,102,32
PRIMECARE,34567,80284,TX,32001,202542,BEAUTY & PERSONAL CARE,CAROL DANVERS,7,SKIN CARE,Allergy Relief 24ct,Top 50%,Escalate to Merchant,Manufacturing shortage,,Y,371,249,67.2,69.2,74.0,59.2,66.5,64.8,68.1,73.7,Y,Y,N,2025-08-11,2025-08-10,2025-08-11,2025-08-11,2025-08-13,-1.4,0.6,-3.6,-6.8,0.2,136,1487,36,22.31,0.5437,0.5108,A,N,Y,67.2,-2.4,67.8,-3.6,0.4097,371,122
HEALTHCORP,80021,17331,IL,32002,202540,CONSUMER HEALTH CARE,THOR ODINSON,1,DIGESTIVE HEALTH,Cough Syrup 8oz,Bottom 50%,Escalate to Merchant,Vendor capacity constraint,N,Y,158,127,80.2,68.6,75.0,82.4,89.4,88.8,72.6,82.9,Y,N,N,2025-08-09,2025-08-10,2025-08-11,2025-08-11,2025-08-11,3.2,4.5,3.1,0.0,0.7,440,274,78,57.81,0.882,0.9112,A,N,N,78.8,2.1,79.7,1.5,0.3381,158,293
ULTRAMED,75012,25014,AZ,32003,202535,BEAUTY & PERSONAL CARE,THOR ODINSON,5,PERSONAL CARE,Cough Syrup 8oz,Top 10%,Vendor Outreach,Vendor capacity constraint,Y,Y,130,78,60.0,61.4,75.7,55.3,59.2,69.4,67.7,75.9,Y,Y,N,2025-08-11,2025-08-12,2025-08-14,2025-08-14,2025-08-16,4.1,6.0,1.1,5.0,6.9,165,1050,9,23.31,0.3447,0.331,A,N,Y,62.9,4.8,66.7,4.5,0.4951,130,50
SUNRISE,88345,73699,TX,32004,202536,PET CARE,DIANA PRINCE,9,PET SUPPLIES,Shampoo 12oz,Top 10%,Escalate to Merchant,Weather delay,,Y,331,157,47.3,36.5,45.4,65.2,43.2,47.7,35.1,45.4,Y,Y,Y,2025-08-22,2025-08-19,2025-08-21,2025-08-29,2025-08-29,16.1,13.2,12.7,17.5,17.7,301,501,3,32.14,0.3284,0.3415,A,N,Y,47.6,15.3,46.0,15.9,0.2071,331,258
BIOMED,48902,27342,NC,32005,202537,CONSUMER HEALTH CARE,THOR ODINSON,10,FIRST AID,Sunscreen SPF50 4oz,Bottom 50%,Vendor Outreach,Low fill rate (<85%),Y,N,463,422,91.1,100,100,97.7,86.1,97.6,92.9,89.1,N,N,N,2025-08-13,2025-08-11,2025-08-13,2025-08-14,2025-08-14,2.6,7.1,4.4,3.1,1.2,216,425,142,36.85,0.8342,0.8716,A,N,N,95.9,4.0,95.3,5.7,0.1228,463,286
NOVAPHARM,41892,40982,FL,32006,202541,BEAUTY & PERSONAL CARE,BRUCE BANNER,7,SKIN CARE,Sunscreen SPF50 4oz,Bottom 50%,Vendor Outreach,Transportation issue,Y,N,255,251,98.5,98.8,99.0,84.4,100,99.9,92.1,94.2,Y,N,Y,2025-09-07,2025-09-09,2025-09-11,2025-09-11,2025-09-13,17.8,13.2,17.5,16.1,15.5,160,167,25,42.16,0.8694,0.8697,A,N,N,95.5,15.6,97.4,16.3,0.4831,255,45
NOVAPHARM,41892,98501,IL,32007,202537,BEAUTY & PERSONAL CARE,BRUCE BANNER,7,SKIN CARE,Pain Reliever 50ct,Top 10%,Vendor Outreach,Weather delay,N,Y,70,47,67.3,63.6,58.0,72.4,48.8,64.6,70.9,79.5,Y,Y,Y,2025-09-29,2025-09-26,2025-09-26,2025-09-29,2025-10-01,9.6,12.5,12.8,2.9,11.4,288,254,37,45.59,0.5151,0.5157,A,N,Y,60.7,9.9,66.0,11.3,0.2282,70,234
SUNRISE,88345,49651,NC,32008,202542,PET CARE,BRUCE BANNER,9,PET SUPPLIES,Antacid Tablet 100ct,Bottom 50%,Escalate to Merchant,Vendor capacity constraint,Y,Y,389,173,44.6,49.1,40.3,54.7,36.2,48.2,50.0,46.4,Y,Y,N,2025-09-10,2025-09-10,2025-09-11,2025-09-11,2025-09-11,2.8,5.5,0.5,2.7,3.6,170,1629,66,22.9,0.5548,0.531,A,N,Y,45.1,3.1,46.1,3.0,0.1503,389,86
AKZE,32274,58393,NC,32009,202540,PET CARE,NATASHA ROMANOV,9,PET SUPPLIES,Shampoo 12oz,Top 10%,Vendor Outreach,Transportation issue,N,N,207,187,90.5,80.4,100,81.8,97.8,92.4,85.6,79.7,Y,N,Y,2025-09-29,2025-09-27,2025-09-27,2025-09-28,2025-09-29,11.3,13.6,9.3,10.0,10.1,12,417,170,28.73,0.9269,0.9181,A,N,N,90.0,10.8,88.0,7.9,0.1716,207,65
